timestamp,TECell_PV,PSCurrent_PV,PSVoltage_PV,FT201_PV,HTR201_PV,TE201_PV,CT201_PV,CT210_PV,Cell1_Voltage,Cell2_Voltage,Cell3_Voltage,PT201_PV,PT302_PV,HCD220_PV,step
2025-09-24T19:18:17.304Z,59.3,8.4,1.724,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:18.302Z,59.3,8.4,1.727,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:19.304Z,59.3,8.4,1.732,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:20.305Z,59.3,8.4,1.735,49.6,0,59.8,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:21.310Z,59.3,8.4,1.738,50.4,0,59.8,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:22.307Z,59.3,8.4,1.738,49.6,0,59.8,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:23.310Z,59.3,8.4,1.728,50.4,0,59.8,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:24.308Z,59.3,8.4,1.727,49.6,0,59.8,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:25.310Z,59.3,8.4,1.727,50.4,0,59.8,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:26.311Z,59.3,8.4,1.727,49.6,0,59.8,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:27.310Z,59.3,8.4,1.726,49.6,0,59.8,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:28.309Z,59.3,8.4,1.725,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:29.312Z,59.3,8.4,1.725,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:30.309Z,59.3,8.4,1.725,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:31.315Z,59.3,8.4,1.725,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:32.313Z,59.3,8.4,1.724,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:33.315Z,59.3,8.4,1.724,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:34.317Z,59.3,8.4,1.724,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:35.318Z,59.3,8.4,1.724,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:36.315Z,59.3,8.4,1.723,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:37.320Z,59.3,8.4,1.724,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:38.317Z,59.3,8.4,1.723,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:39.320Z,59.3,8.4,1.723,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:40.325Z,59.3,8.4,1.724,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:41.320Z,59.3,8.4,1.722,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:42.325Z,59.2,8.4,1.723,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:43.326Z,59.3,8.4,1.723,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:44.328Z,59.3,8.4,1.723,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:45.326Z,59.2,8.4,1.722,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:46.326Z,59.2,8.4,1.722,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:47.326Z,59.2,8.4,1.722,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:48.330Z,59.2,8.4,1.723,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:49.328Z,59.2,8.4,1.723,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:50.333Z,59.2,8.4,1.724,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:51.329Z,59.2,8.4,1.723,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:52.332Z,59.2,8.4,1.724,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:53.336Z,59.2,8.4,1.724,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:54.334Z,59.2,8.4,1.724,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:55.333Z,59.2,8.4,1.724,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:56.339Z,59.2,8.4,1.724,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:57.338Z,59.2,8.4,1.724,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:58.335Z,59.2,8.4,1.725,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:18:59.342Z,59.2,8.4,1.725,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:00.342Z,59.2,8.4,1.725,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:01.341Z,59.2,8.4,1.725,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:02.342Z,59.2,8.4,1.725,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:03.347Z,59.2,8.4,1.726,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:04.344Z,59.2,8.4,1.727,49.6,0,60,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:05.346Z,59.2,8.4,1.727,50.4,0,60,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:06.347Z,59.2,8.4,1.727,49.6,0,60,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:07.350Z,59.2,8.4,1.727,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:08.350Z,59.2,8.4,1.728,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:09.352Z,59.2,8.4,1.729,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:10.353Z,59.2,8.4,1.729,49.6,0,60,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:11.354Z,59.2,8.4,1.729,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:12.351Z,59.2,8.4,1.729,49.6,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:13.357Z,59.2,8.4,1.73,50.4,0,59.9,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:14.357Z,59.2,8.4,1.73,49.6,0,60,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:15.356Z,59.2,8.4,1.732,49.6,0,60,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:16.354Z,59.2,8.4,1.732,50.4,0,60,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:17.360Z,59.2,8.4,1.732,49.6,0,60,0,0,0,0,0,0,0,0,13
2025-09-24T19:19:18.355Z,59.2,8.4,1.732,49.6,0,60,0,0,0,0,0,0,0,0,13
