timestamp,TECell_PV,PSCurrent_PV,PSVoltage_PV,FT201_PV,HTR201_PV,TE201_PV,CT201_PV,CT210_PV,Cell1_Voltage,Cell2_Voltage,Cell3_Voltage,PT201_PV,PT302_PV,HCD220_PV,step
2025-09-26T21:31:44.024Z,64.9,63.4,2.174,49.6,0,60,0,0,0,0,0,0,0,0,42
2025-09-26T21:31:45.026Z,64.9,63.4,2.174,49.6,0,60,0,0,0,0,0,0,0,0,42
2025-09-26T21:31:46.025Z,64.9,63.4,2.175,50.4,0,60,0,0,0,0,0,0,0,0,42
2025-09-26T21:31:47.028Z,64.9,63.4,2.174,49.6,0,60,0,0,0,0,0,0,0,0,42
2025-09-26T21:31:48.030Z,64.9,63.4,2.173,50.4,0,60,0,0,0,0,0,0,0,0,42
2025-09-26T21:31:49.031Z,64.9,63.4,2.174,50.4,0,60,0,0,0,0,0,0,0,0,42
2025-09-26T21:31:50.029Z,64.9,63.4,2.174,49.6,0,60,0,0,0,0,0,0,0,0,43
2025-09-26T21:31:51.028Z,64.9,63.4,2.174,50.4,0,60,0,0,0,0,0,0,0,0,43
2025-09-26T21:31:52.033Z,64.9,0.1,1.523,49.6,0,60,0,0,0,0,0,0,0,0,43
2025-09-26T21:31:53.033Z,64.9,0.1,1.508,50.4,0,60,0,0,0,0,0,0,0,0,43
2025-09-26T21:31:54.034Z,64.9,0.1,1.501,49.6,0,60,0,0,0,0,0,0,0,0,43
2025-09-26T21:31:55.033Z,64.9,0.1,1.497,50.4,0,60.1,0,0,0,0,0,0,0,0,43
2025-09-26T21:31:56.035Z,64.8,0.1,1.496,49.6,0,60.1,0,0,0,0,0,0,0,0,43
2025-09-26T21:31:57.037Z,64.8,0.1,1.495,50.4,0,60.1,0,0,0,0,0,0,0,0,43
2025-09-26T21:31:58.033Z,64.7,0.1,1.494,49.6,0,60.1,0,0,0,0,0,0,0,0,43
2025-09-26T21:31:59.036Z,64.7,0.1,1.494,50.4,0,60.1,0,0,0,0,0,0,0,0,43
