timestamp,TECell_PV,PSCurrent_PV,PSVoltage_PV,FT201_PV,HTR201_PV,TE201_PV,CT201_PV,CT210_PV,Cell1_Voltage,Cell2_Voltage,Cell3_Voltage,PT201_PV,PT302_PV,HCD220_PV,step
2025-09-25T02:18:21.824Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:22.818Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:23.819Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:24.826Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:25.828Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:26.829Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:27.829Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:28.828Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:29.832Z,61,21.1,1.919,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:30.831Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:31.834Z,61,21.1,1.92,49.6,0,59.9,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:32.830Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:33.831Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:34.835Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:35.837Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:36.836Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:37.835Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:38.833Z,61,21.1,1.919,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:39.835Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:40.839Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:41.839Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:42.840Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:43.839Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:44.844Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:45.834Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:46.844Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:47.839Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:48.846Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:49.847Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:50.852Z,61,21.1,1.919,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:51.849Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:52.845Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:53.853Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:54.852Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:55.850Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:56.853Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:57.856Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:58.854Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:18:59.858Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:00.857Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:01.859Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:02.855Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:03.853Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:04.855Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:05.860Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:06.860Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:07.861Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:08.863Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:09.859Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:10.861Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:11.867Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:12.867Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:13.867Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:14.868Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:15.866Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:16.866Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:17.863Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:18.872Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:19.875Z,61,21.1,1.919,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:20.873Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:21.877Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:22.876Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:23.876Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:24.877Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:25.877Z,61,21.1,1.92,49.6,0,60,0,0,0,0,0,0,0,0,24
2025-09-25T02:19:26.876Z,61,21.1,1.92,50.4,0,60,0,0,0,0,0,0,0,0,24
